id,databases,title,year,authors,publication_type,published_in,num_references,num_citations,abstract,keywords,pdf,url
114,Google Scholar,An Empirical Study to Predict the Quality of Wikipedia Articles,2019,Imran Khan; Shahid Hussain; Hina Gul; Muhammad Shahid; Muhammad Jamal,Conference,"WorldCIST, pp. 485-492",19,3,"Wikipedia is considered a common way to deliver content in a more effective way as compared to other types of an encyclopedia. However, the quality threat remains an issue regarding the Wikipedia articles. The basic aim of propose research to perform an empirical study to predict the quality of Wikipedia articles. In the proposed methodology, we consider few metrics such as article length (total number of word in an article), number of edits, article age (in the day) and article ranking and perform few statistical tests analyze the quality of Wikipedia articles. Moreover, we observe a significant correlation of proposed metrics with the rating of articles in order to identify their quality. 
",,https://link.springer.com/content/pdf/10.1007/978-3-030-16187-3_47,https://link.springer.com/chapter/10.1007/978-3-030-16187-3_47
115,Google Scholar,On the Use of PU Learning for Quality Flaw Prediction in Wikipedia,2012,E. Ferretti; D. H. Fusilier; R. Guzmán-Cabrera; M. Montes-y-Gómez; M. Errecalde; Paolo Rosso,Conference,"Conference and Labs of the Evaluation Forum, 1178",18,14,"In this article we describe a new approach to assess Quality Flaw Prediction in Wikipedia. The partially supervised method studied, called PU Learning, has been successfully applied in classifications tasks with traditional corpora like Reuters-21578 or 20-Newsgroups. To the best of our knowledge, this is the first time that it is applied in this domain. Throughout this paper, we describe how the original PU Learning approach was evaluated for assessing quality flaws and the modifications introduced to get a quality flaws predictor which obtained the best F1 scores in the task “Quality Flaw Prediction in Wikipedia” of the PAN challenge",,https://ceur-ws.org/Vol-1178/CLEF2012wn-PAN-FerrettiEt2012.pdf,https://www.researchgate.net/publication/236565329_On_the_Use_of_PU_Learning_for_Quality_Flaw_Prediction_in_Wikipedia
117,"ACM, Google Scholar",QualityRank: assessing quality of wikipedia articles by mutually evaluating editors and texts,2012,Yumiko Suzuki; M. Yoshikawa,Conference,"ACM Conference on Hypertext & Social Media, pp. 307-308",4,7,"In this paper, we propose a method to identify high-quality Wikipedia articles by mutually evaluating editors and texts. A major approach for assessing articles using edit history is a text survival ratio based approach. However, the problem is that many high-quality articles are identified as low quality, because many vandals delete high-quality texts, then the survival ratios of high-quality texts are decreased by vandals. Our approach's strongest point is its resistance to vandalism. Using our method, if we calculate text quality values using editor quality values, vandals do not affect any quality values of the other editors, then the accuracy of text quality values should improve. However, the problem is that editor quality values are calculated by text quality values, and text quality values are calculated by editor quality values. To solve this problem, we mutually calculate editor and text quality values until they converge. Using this method, we can calculate a quality value of a text that takes into consideration that of its editors.",,https://dl.acm.org/doi/pdf/10.1145/2309996.2310047,https://dl.acm.org/doi/10.1145/2309996.2310047
118,Google Scholar,,,,,,,,,,,
119,"Google Scholar, Web of Science",Assessing Information Quality of Wikipedia Articles through Google’s E-A-T Model,2022,Chinthani Sugandhika; S. Ahangama,Journal,"IEEE Access, PP, pp. 1-1",58,1,"Along with the emergence of Web 2.0, User Generated Content (UGC) is becoming increasingly important for knowledge sharing. Wikipedia being the world’s largest-ever community-based collaborative encyclopedia, is also one of the biggest UGC databases in the world. Wikipedia is dealing with a significant problem of Information Quality (IQ) because of its open-source and collaborative nature. When carrying out attacks such as link spamming, malicious users take advantage of Wikipedia’s popularity on the WWW. As a result, Wikipedia is generally not recommended for academic-related work. There are, however, some articles that are both rich in information and quality. Existing approaches for assessing Wikipedia’s IQ involve statistical models and machine learning algorithms; however, the existing models do not produce satisfactory results. In this study, a novel theoretical model based on Google’s E-A-T framework is introduced to assess Wikipedia’s IQ. The model comprises three IQ constructs Expertise, Authority and Trustworthiness. Based on the empirical findings and study results, a set of IQ dimensions that influence the above three IQ constructs, as well as 45 IQ attributes to measure the IQ dimensions, were identified. The IQ attributes were automatically and inexpensively extracted from the content and meta-data statistics of Wikipedia articles using a Selenium 3.14 web automation script. A sample of 2000 articles comprising 1000 Featured Articles (FA) and 1000 non-FA articles from six WikiProjects was used for the data analysis. The proposed model was compared with three previously published models in terms of classification and clustering accuracy. It received classification and clustering accuracies of 95% and 93% respectively which is a drastic improvement over the existing models. Furthermore, an average inter-rater agreement of 84% was observed. Thus, the proposed model’s effectiveness is fairly validated by this extensive experiment. This study contributes to the related knowledge area by introducing a novel framework to assess Wikipedia articles’ IQ. The study’s limitations include the domain specificity of the chosen dataset and focusing solely on the English language. However, the results can be generalized by improving the dataset by size and replicating the study for the other domains and languages supported by Wikipedia.",,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09770051.pdf,https://ieeexplore.ieee.org/document/9770051
122,Google Scholar,Measuring Quality of Wikipedia Articles by Feature Fusion‐based Stack Learning,2021,Jingrui Hou; Jiangnan Li; Ping Wang,Conference,"Proceedings of the Association for Information Science and Technology, 58",61,1,"Online open‐source knowledge repository such as Wikipedia has become an increasingly important source for users to access knowledge. However, due to its large volume, it is challenging to evaluate Wikipedia article quality manually. To fill this gap, we propose a novel approach named “feature fusion‐based stack learning” to assess the quality of Wikipedia articles. Pre‐trained language models including BERT (Bidirectional Encoder Representations from Transformers) and ELMo (Embeddings from Language Models) are applied to extract semantic information in Wikipedia content. The feature fusion framework consisting of semantic and statistical features is built and fed into an out‐of‐sample (OOS) stacking model, which includes both machine learning and deep learning models. We compare the performance of proposed model with some existing models with different metrics extensively, and conduct ablation studies to prove the effectiveness of our framework and OOS stacking. Generally, the experiment shows that our method is much better than state‐of‐the‐art models.",,,https://asistdl.onlinelibrary.wiley.com/doi/10.1002/pra2.449
125,"ACM, Google Scholar","How do metrics of link analysis correlate to quality, relevance and popularity in wikipedia?",2013,Raíza Hanada; Marco Cristo; M. G. Pimentel,Conference,"Brazilian Symposium on Multimedia and the Web, pp. 105-112",14,10,"Many links between Web pages can be viewed as indicative of the quality and importance of the pages they pointed to. Accordingly, several studies have proposed metrics based on links to infer web page content quality. However, as far as we know, the only work that has examined the correlation between such metrics and content quality consisted of a limited study that left many open questions. In spite of these metrics having been shown successful in the task of ranking pages which were provided as answers to queries submitted to search engines, it is not possible to determine the specific contribution of factors such as quality, popularity, and importance to the results. This difficulty is partially due to the fact that such information is hard to obtain for Web pages in general. Unlike ordinary Web pages, the quality, importance and popularity of Wikipedia articles are evaluated by human experts or might be easily estimated. Thus, it is feasible to verify the relation between link analysis metrics and such factors in Wikipedia articles, our goal in this work. To accomplish that, we implemented several link analysis algorithms and compared their resulting rankings with the ones created by human evaluators regarding factors such as quality, popularity and importance. We found that the metrics are more correlated to quality and popularity than to importance, and the correlation is moderate.",,https://dl.acm.org/doi/pdf/10.1145/2526188.2526198,https://dl.acm.org/doi/10.1145/2526188.2526198
128,"Google Scholar, Web of Science",A Psycho-Lexical Approach to the Assessment of Information Quality on Wikipedia,2015,Qi Su; Pengyuan Liu,Conference,"2015 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT), 3, pp. 184-187",18,5,"The great popularity of Wikipedia makes it one of the dominant knowledge source around the World. However, since one of the core principles of Wikipedia is being open for anyone to maintain it, Wikipedia cannot fully ensure the reliability of its articles, and thus sometimes suffered criticism for containing low-quality information. It is therefore essential to assess the quality of Wikipedia articles automatically. In this paper we describe how we approach that problem by using a psycho-lexical resource, i.e., the Language Inquiry and Word Count (LIWC) dictionary. By training a classifier on different LIWC categories, we discuss the implications of each category for Wikipedia quality assessment.",,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7397452,https://ieeexplore.ieee.org/document/7397452
130,Google Scholar,,,,,,,,,,,
131,Google Scholar,Assessing the Quality of Wikipedia Pages Using Edit Longevity and Contributor Centrality,2012,Xiangju Qin; P. Cunningham,Journal,"ArXiv, abs/1206.2517",20,5,"In this paper we address the challenge of assessing the quality of Wikipedia pages using scores derived from edit contribution and con- tributor authoritativeness measures. The hypothesis is that pages with significant contributions from authoritative contributors are likely to be high-quality pages. Contributions are quantified using edit longevity measures and contributor authoritativeness is scored using centrality metrics in either the Wikipedia talk or co-author networks. The results suggest that it is useful to take into account the contributor authori- tativeness when assessing the information quality of Wikipedia content. The percentile visualization of the quality scores provides some insights about the anomalous articles, and can be used to help Wikipedia editors to identify Start and Stub articles that are of relatively good quality.",,https://arxiv.org/pdf/1206.2517.pdf,https://arxiv.org/abs/1206.2517
132,"Google Scholar, Web of Science",Towards Information Quality Assurance in Spanish: Wikipedia,2017,E. Ferretti; M. Soria; Sebastián Pérez Casseignau; Lian Pohn; Guido Urquiza; Sergio Alejandro Gómez; M. Errecalde,Journal,"Journal of Computer Science and Technology, 17, pp. 29-36",17,4,"Featured Articles (FA) are considered to be the best articles that Wikipedia has to offer and in the last years, researchers have found interesting to analyze whether and how they can be distinguished from “ordinary” articles. Likewise, identifying what issues have to be enhanced or fixed in ordinary articles in order to improve their quality is a recent key research trend. Most of the approaches developed to face these information quality problems have been proposed for the English Wikipedia. However, few efforts have been accomplished in Spanish Wikipedia, despite being Spanish, one of the most spoken languages in the world by native speakers. In this respect, we present a breakdown of Spanish Wikipedia’s quality flaw structure. Besides, we carry out studies with three different corpora to automatically assess information quality in Spanish Wikipedia, where FA identification is evaluated as a binary classification task. Our evaluation on a unified setting allows to compare with the English version, the performance achieved by our approach on the Spanish version. The best results obtained show that FA identification in Spanish, can be performed with an F1 score of 0.88 using a document model consisting of only twenty six features and Support Vector Machine as classification algorithm.",,https://host170.sedici.unlp.edu.ar/server/api/core/bitstreams/6908402f-f564-4313-aa26-a121a593a2a6/content,https://www.semanticscholar.org/paper/8cba1878de84959de7a5401c9181819ee9bdf205
133,Google Scholar,Effects of Implicit Positive Ratings for Quality Assessment of Wikipedia Articles,2013,Yumiko Suzuki,Journal,"J. Inf. Process., 21, pp. 342-348",22,3,"In this paper, we propose a method to identify high-quality Wikipedia articles by using implicit positive ratings. One of the major approaches for assessing Wikipedia articles is a text survival ratio based approach. In this approach, when a text survives beyond multiple edits, the text is assessed as high quality. However, the problem is that many low quality articles are misjudged as high quality, because every editor does not always read the whole article. If there is a low quality text at the bottom of a long article, and the text has not seen by the other editors, then the text survives beyond many edits, and the text is assessed as high quality. To solve this problem, we use a section and a paragraph as a unit instead of a whole page. In our method, if an editor edits an article, the system considers that the editor gives positive ratings to the section or the paragraph that the editor edits. From experimental evaluation, we confirmed that the proposed method could improve the accuracy of quality values for articles.",,https://www.jstage.jst.go.jp/article/ipsjjip/21/2/21_342/_pdf,https://www.jstage.jst.go.jp/article/ipsjjip/21/2/21_342/_article
136,"ACM, Google Scholar",Assessing the Quality of Wikipedia Articles,2021,Quang-Vinh Dang,Conference,2021 The 5th International Conference on Machine Learning and Soft Computing,47,0,"Wikipedia is a very important information reference source for the Internet users. Due to the fact that the content of Wikipedia is the collaborative result from a massive number of participants all over the world, the quality of Wikipedia might be questionable. Over the last decade, many research works are dedicated to solve the issue of Wikipedia quality. In this paper, we present our latest research in determining the quality of Wikipedia articles. The evaluation on the real-world dataset shows that our method outperforms other baseline methods proposed recently.",,https://dl.acm.org/doi/pdf/10.1145/3453800.3453801,https://dl.acm.org/doi/10.1145/3453800.3453801
139,"Google Scholar, Web of Science",Using Morphological and Semantic Features for the Quality Assessment of Russian Wikipedia,2017,Włodzimierz Lewoniewski; N. Khairova; Krzysztof Węcel; Nataliia Stratiienko; W. Abramowicz,Conference,"International Conference on Information and Software Technologies, pp. 550-560",19,3,"Nowadays, the assessment of the quality and credibility of Wikipedia articles becomes increasingly important. We propose to use morphological and semantic features to estimate the quality of Wikipedia articles in Russian language. We distinguished over 150 linguistic features and divided them into four groups. In these groups, we considered the features of encyclopedic style, readability and subjectivism of the article’s text. Based on Random Forest as a classification algorithm, we show the most importance linguistic features that affect the quality of Russian Wikipedia articles. We compare the classification results of our four linguistic features groups separately. We have achieved the F-measure of 89,75%.",,https://link.springer.com/content/pdf/10.1007/978-3-319-67642-5_46.pdf,https://link.springer.com/chapter/10.1007/978-3-319-67642-5_46
142,"ACM, Google Scholar, Web of Science",Quality Assessment of Peer-Produced Content in Knowledge Repositories Using Big Data and Social Networks: The Case of Implicit Collaboration in Wikipedia,2019,Srikar Velichety,Journal,"Data Base, 50, pp. 28-51",79,1,"This research provides a method for quality assessment of peer-produced content in knowledge repositories using a complementary view of collaboration. Using the definition of collaboration as the action of working with someone to produce something, we identify the aspects of collaboration that the present research on online communities does not consider. To this end, we introduce and define the concept of implicit collaboration and then identify two dimensions and four possible areas of collaboration. In each area, we identify the relevant social network that captures collaboration. Using customized measures on each of the networks that capture various aspects of collaboration, we quantify the utility of implicit collaboration in assessing article quality. Experiments conducted on the complete population of graded English language Wikipedia articles show that all the identified measures improve the predictive accuracy of the existing models by 11.89 percent while improving the class-wise precision by 9-18 percent and the class-wise recall by 5-26 percent. We also find that our method complements the existing quality assessment approaches well. Our research has implications for developing automated quality assessment methods for peer-produced content using big data and social networks.",,https://dl.acm.org/doi/pdf/10.1145/3371041.3371045,https://dl.acm.org/doi/10.1145/3371041.3371045
145,"ACM, Google Scholar, Web of Science",Equal opportunities in the access to quality online health information? A multi-lingual study on Wikipedia,2021,Luis Couto; C. Lopes,Conference,Proceedings of the 17th International Symposium on Open Collaboration,38,1,"Wikipedia is a free, multilingual, and collaborative online encyclopedia. Nowadays, it is one of the largest sources of online knowledge, often appearing at the top of the results of the major search engines, being one of the most sought-after resources by the public searching for health information. The collaborative nature of Wikipedia raises security concerns since this information is used for decision-making, especially in the health area. Despite being available in hundreds of idioms, there are asymmetries between idioms, namely regarding their quality. In this work, we compare the quality of health information on Wikipedia between idioms with 100 million native speakers or more, and also in Greek, Italian, Korean, Turkish, Persian, Catalan and Hebrew, for historical tradition. Quality metrics are applied to health and medical articles in English, maintained by WikiProject Medicine, and their versions in the above idioms. With this, we contribute to a clarification of the role of Wikipedia in the access to health information. We demonstrate differences in both the quantity and quality of information available between idioms. English is the idiom with the highest quality in general. Urdu, Greek, Indonesian, and Hindi achieved lower values of quality.",,https://dl.acm.org/doi/pdf/10.1145/3479986.3480000,https://dl.acm.org/doi/10.1145/3479986.3480000
147,Google Scholar,Predicting Information Quality Flaws in Wikipedia by Using Classical and Deep Learning Approaches,2019,Gerónimo Bazán Pereyra; C. Cuello; G. Capodici; Vanessa Jofré; E. Ferretti; Rodolfo Bonnin; M. Errecalde,Conference,"Argentine Congress of Computer Science, pp. 3-18",31,2,"Quality flaws prediction in Wikipedia is an ongoing research trend. In particular, in this work we tackle the problem of automatically predicting five out of the ten most frequent quality flaws; namely: No footnotes, Notability, Primary Sources, Refimprove and Wikify. Different classical and deep learning state-of-the-art approaches were studied. From among the evaluated approaches, some of them always reach or improve the existing benchmarks on the test corpus from the 1st International Competition on Quality Flaw Prediction in Wikipedia; a well-known uniform evaluation corpus from this research field. Particularly, the results showed that under-bagged decision trees with different aggregation rules perform best improving the existing benchmarks for four out the five flaws.",,https://link.springer.com/content/pdf/10.1007/978-3-030-48325-8_1,https://link.springer.com/chapter/10.1007/978-3-030-48325-8_1
148,"Google Scholar, Web of Science",Quality assessment of Arabic web content: The case of the Arabic Wikipedia,2014,A. Yahya; A. Salhi,Conference,"2014 10th International Conference on Innovations in Information Technology (IIT), pp. 36-41",16,3,"With the huge size and large diversity of Arabic web content, machine assessment of document quality acquires added importance. Users are in dire need for quality rating of the material returned in response to their queries. The Wikipedia, with its large metadata, has been a topic of extensive research on document quality assessment. Criteria used include text properties and style parameters, contributor and edit characteristics and multimedia components. In this paper we report on our ongoing work to adapt existing document assessment approaches to Arabic content with concentration on the Arabic Wikipedia and present some of the results. We also try to augment that with features specific to Arabic as well as parameters like author expertise and social media presence. One of our goals is an aggregate measure integrating many of the features into a single document quality index. We plan to use Wikipedia article quality assessment results to train general content assessment methods that can be applied to general content that lacks major Wikipedia features.",,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6987558,https://ieeexplore.ieee.org/document/6987558
149,"Google Scholar, Web of Science",Determining Quality of Articles in Polish Wikipedia Based on Linguistic Features,2018,Włodzimierz Lewoniewski; Krzysztof Węcel; W. Abramowicz,Conference,"International Conference on Information and Software Technologies, pp. 546-558",25,2,"Wikipedia is the most popular and the largest user-generated source of knowledge on the Web. Quality of the information in this encyclopedia is often questioned. Therefore, Wikipedians have developed an award system for high quality articles, which follows the specific style guidelines. Nevertheless, more than 1.2 million articles in Polish Wikipedia are unassessed. This paper considers over 100 linguistic features to determine the quality of Wikipedia articles in Polish language. We evaluate our models on 500 000 articles of Polish Wikipedia. Additionally, we discuss the importance of linguistic features for quality prediction.",,https://link.springer.com/content/pdf/10.1007/978-3-319-99972-2_45,https://link.springer.com/chapter/10.1007/978-3-319-99972-2_45
150,"Google Scholar, Web of Science",Quality Classification of ASEAN Wikipedia Articles using Statistical Features,2018,Kanchana Saengthongpattana; T. Supnithi; N. Soonthornphisaj,Conference,"2018 International Joint Symposium on Artificial Intelligence and Natural Language Processing (iSAI-NLP), pp. 1-6",11,1,"The quality of Wikipedia articles is still the main concerned in all languages. Wikipedia relies mostly on human editors and administrators to provide the quality of content. But the magnitude of Wikipedia content makes locating all instances of article very time consuming. Therefore, we need the automatic quality detection that can help users to evaluate the quality of articles. In this paper, we propose the feature set to applied for the ASEAN language Wikipedia articles. We investigate the statistical features such as # of link, # of infobox, length of article, # of headings, # of files, # of contributors, # of viewer, # of written articles found in other languages, and # of templates applied in the article. The experiments are perform using Naïve Bayes and Decision tree algorithm. We found that the accuracy of Decision tree (96.34%) outperform Naïve Bayes (86.47%). Moreover, we found that the statistical features play an important role in quality classification of Vietnamese, Indonesian, Malaysian, Thai, and Tagalog/Philippines Wikipedia articles.",,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=8692954&ref=,https://ieeexplore.ieee.org/document/8692954/
155,"Google Scholar, Web of Science",Cumulative Experience and Recent Behavior and their Relation to Content Quality on Wikipedia,2017,Michail Tsikerdekis,Journal,"Interact. Comput., 29, pp. 737-754",69,1,"Cumulative experience is often seen as a major factor for influencing content quality in collaborative projects such as Wikipedia. However, past studies often utilize cumulative experience based on the quantity of work rather than quality and context. Moreover, the perspective on cumulative experience assumes a final destination for user behavior, whereas much of the literature indicates that user behavior changes over time. This paper aims to address these two factors by providing better descriptions and context to determine their effect on content quality. The study rematerialized these factors based on 1 Communications Facility 495, 516 High Street, Bellingham, WA 98225. U.S.A. Telephone: 360-6502401, Email: michael.tsikerdekis@wwu.edu",,https://academic.oup.com/iwc/article/29/5/737/3885842,https://academic.oup.com/iwc/article/29/5/737/3885842
157,"Google Scholar, Web of Science",On Quality Assesement in Wikipedia Articles Based on Markov Random Fields,2017,Rajmund Kleminski; Tomasz Kajdanowicz; Roman Bartusiak; Przemyslaw Kazienko,Conference,"Asian Conference on Intelligent Information and Database Systems, pp. 782-791",13,1,"This article investigates the possibility of accurate quality prediction of resources generated by communities based on the crowd-generated content. We use data from Wikipedia, the prime example of community-run site, as our object of study. We define the quality as a distribution of user-assigned grades across a predefined range of possible scores and present a measure of distribution similarity to quantify the accuracy of a prediction. The proposed method of quality prediction is based on Markov Random Field and its Loopy Belief Propagation implementation. Based on our results, we highlight key problems in the approach as presented, as well as trade-offs caused by relying solely on network structure and characteristics, excluding metadata. The overall results of content quality prediction are promising in homophilic networks.",,https://link.springer.com/content/pdf/10.1007/978-3-319-54472-4_73,https://link.springer.com/chapter/10.1007/978-3-319-54472-4_73
159,Google Scholar,Assessing Quality Values of Wikipedia Articles Using Implicit Positive and Negative Ratings,2012,Yumiko Suzuki,Conference,"Interational Conference on Web-Age Information Management, pp. 127-138",10,1,"In this paper, we propose a method to identify high-quality Wikipedia articles by mutually evaluating editors and text using implicit positive and negative ratings. One of major approaches for assessing Wikipedia articles is a text survival ratio based approach. However, the problem of this approach is that many low quality articles are misjudged as high quality, because of two issues. This is because, every editor does not always read the whole articles. Therefore, if there is a low quality text at the bottom of a long article, and the text have not seen by the other editors, then the text survives beyond many edits, and the survival ratio of the text is high. To solve this problem, we use a section or a paragraph as a unit of remaining instead of a whole page. This means that if an editor edits an article, the system treats that the editor gives positive ratings to the section or the paragraph that the editor edits. This is because, we believe that if editors edit articles, the editors may not read the whole page, but the editors should read the whole sections or paragraphs, and delete low-quality texts. From experimental evaluation, we confirmed that the proposed method could improve the accuracy of quality values for articles. ",,https://link.springer.com/content/pdf/10.1007/978-3-642-32281-5_13,https://link.springer.com/chapter/10.1007/978-3-642-32281-5_13
160,Google Scholar,On the Assessment of Information Quality in Spanish Wikipedia,2016,Guido Urquiza; M. Soria; Sebastián Pérez Casseignau; E. Ferretti; Sergio Alejandro Gómez; M. Errecalde,Journal,N/A,20,3,"Featured Articles (FA) are considered to be the best articles that Wikipedia has to offer and in the last years, researchers have found interesting to analyze whether and how they can be distinguished from “ordinary” articles. Likewise, identifying what issues have to be enhanced or fixed in ordinary articles in order to improve their quality is a recent key research trend. Most of the approaches developed in these research trends have been proposed for the English Wikipedia. However, few efforts have been accomplished in Spanish Wikipedia, despite being Spanish, one of the most spoken languages in the world by native speakers. In this respect, we present a first breakdown of Spanish Wikipedia’s quality flaw structure. Besides, we carry out a study to automatically assess information quality in Spanish Wikipedia, where FA identification is evaluated as a binary classification task. The results obtained show that FA identification can be performed with an F1 score of 0.81, using a document model consisting of only twenty six features and AdaBoosted C4.5 decision trees as classification algorithm.",,http://sedici.unlp.edu.ar/bitstream/handle/10915/56750/Documento_completo.pdf-PDFA.pdf?isAllowed=y&sequence=1,http://sedici.unlp.edu.ar/handle/10915/56750
161,"ACM, Google Scholar, Web of Science",Assessing the quality of health-related Wikipedia articles with generic and specific metrics,2021,Luis Couto; C. Lopes,Conference,Companion Proceedings of the Web Conference 2021,30,1,"Wikipedia is an online, free, multi-language, and collaborative encyclopedia, currently one of the most significant information sources on the web. The open nature of Wikipedia contributions raises concerns about the quality of its information. Previous studies have addressed this issue using manual evaluations and proposing generic measures for quality assessment. In this work, we focus on the quality of health-related content. For this purpose, we use general and health-specific features from Wikipedia articles to propose health-specific metrics. We evaluate these metrics using a set of Wikipedia articles previously assessed by WikiProject Medicine. We conclude that it is possible to combine generic and specific metrics to determine health-related content’s information quality. These metrics are computed automatically and can be used by curators to identify quality issues. Along with the explored features, these metrics can also be used in approaches that automatically classify the quality of Wikipedia health-related articles.",,https://dl.acm.org/doi/pdf/10.1145/3442442.3452355,https://dl.acm.org/doi/10.1145/3442442.3452355
162,Google Scholar,Ontology-Based Classifiers for Wikipedia Article Quality Classification,2017,Kanchana Saengthongpattana; T. Supnithi; N. Soonthornphisaj,Journal,Advances in Intelligent Systems and Computing,18,1,Quality of Wikipedia article is the main issues that need to be solved. This research proposes the ontology-based classification framework that considers the quality of article in term of its comprehensive content which is one of the properties for featured and good articles in Thai Wikipedia. We create concepts or main ideas of articles in three domains using ontology as a knowledge representation. Knowledge based are created using OAM tool that do data mapping and classify the quality of articles via set of rules. We have investigated the ontology approach which combined Naive Bayes classifier and found that the precision of our proposed method outperform traditional Naive Bayes for two times.,,https://link.springer.com/content/pdf/10.1007/978-3-319-94703-7_7,https://link.springer.com/chapter/10.1007/978-3-319-94703-7_7
169,"Google Scholar, Web of Science",Assessing the Quality of Thai Wikipedia Articles Using Concept and Statistical Features,2014,Kanchana Saengthongpattana; N. Soonthornphisaj,Conference,"WorldCIST, pp. 513-523",10,2,"The quality evaluation of Thai Wikipedia articles relies on user consideration. There are increasing numbers of articles every day therefore the automatic evaluation method is needed for user. Components of Wikipedia articles such as headers, pictures, references, and links are useful to indicate the quality of articles. However readers need complete content to cover all of concepts in that article. The concept features are investigated in this work. The aim of this research is to classify Thai Wikipedia articles into two classes namely high-quality and low-quality class. Three article domains (Biography, Animal, and Place) are testes with decision tree and Naive Bayes. We found that Naive Bayes gets high TP Rate compared to decision tree in every domain. Moreover, we found that the concept feature plays an important role in quality classification of Thai Wikipedia articles. ",,https://link.springer.com/content/pdf/10.1007/978-3-319-05951-8_49,https://link.springer.com/chapter/10.1007/978-3-319-05951-8_49
172,Google Scholar,Structure-Based Features for Predicting the Quality of Articles in Wikipedia,2017,Baptiste de La Robertie; Y. Pitarch; O. Teste,Journal,N/A,17,0,"Success of Wikipedia is decidedly due to the free availability of high quality articles across many different expertise areas. If most of these resolute collaborations between authoritative users might constitute referenceable sources, Wikipedia is not sheltered from well-identified problems regarding articles quality, e.g., reputability of third-party sources and vandalism. Because of the huge number of articles and the intensive edit rate, it is not reasonable to even consider the manual evaluation of the content quality of each article. In this paper, we tackle the problem of modeling and predicting the quality of articles in collaborative platforms. We propose a quality model integrating both temporal and structural features captured from the implicit peer review process enabled by Wikipedia. A generic HITS-like framework is developed and able to capture both the quality of the content and the authority of the associated authors. Notably, a mutual reinforcement principle held between articles quality and author’s authority is exploited in order to take advantage of the collaborative graph generated by the users. Experiments conducted on a set of representative data from Wikipedia show the effectiveness of the computed indicators both in an unsupervised and supervised scenario.",,https://link.springer.com/content/pdf/10.1007/978-3-319-51049-1_6,https://link.springer.com/chapter/10.1007/978-3-319-51049-1_6
173,Google Scholar,Evaluating Article Quality and Editor Reputation in Wikipedia,2013,Yuqing Lu; Lei Zhang; Juan-Zi Li,Conference,"China Semantic Web Symposium, pp. 215-227",23,0,"We study a novel problem of quality and reputation evaluation for Wikipedia articles. We propose a difficult and interesting question: How to generate reasonable article quality score and editor reputation in a framework at the same time? In this paper, We propose a dual wing factor graph(DWFG) model, which utilizes the mutual reinforcement between articles and editors to generate article quality and editor reputation. To learn the proposed factor graph model, we further design an efficient algorithm. We conduct experiments to validate the effectiveness of the proposed model. By leveraging the belief propagation between articles and editors, our approach obtains significant improvement over several alternative methods(SVM, LR, PR, CRF). ",,https://link.springer.com/content/pdf/10.1007/978-3-642-54025-7_19,https://link.springer.com/chapter/10.1007/978-3-642-54025-7_19
197,"Google Scholar, Web of Science",Predicting Low-Quality Wikipedia Articles Using User’s Judgements,2015,Ning Zhang; Lingyun Ruan; Luo Si,Journal,N/A,8,0,"Wikipedia has become the most popular on-line encyclopedia. Millions of users rely on it to obtain desired knowledge and thus it becomes important and practical to model the quality of Wikipedia articles and to have inferior contents which bother readers or even mislead readers to be predicted. While identifying low-quality articles with manual efforts is a possible solution, it costs too much manpower and is too time-consuming. In this paper, we utilize article ratings from Wikipedia users for the first time to assess article quality. We define “low-quality” based on those ratings and design automatic methods to identify potential low-quality articles. More specifically, we formulate the problem as a set of binary classification problems and label articles according to whether they are “low-quality”. We compare two baseline algorithms and Logistic Regression algorithm, and the results indicate that it is promising to design effective and efficient automatic solutions for the task. We believe that our work is important for ensuring the quality of Wikipedia, as well as other knowledge markets. ",,https://link.springer.com/content/pdf/10.1007/978-3-319-05467-4_6,https://link.springer.com/chapter/10.1007/978-3-319-05467-4_6
199,"ACM, Google Scholar",An investigation of the relationship between the amount of extra-textual data and the quality of Wikipedia articles,2013,Marcelo Yuji Himoro; Raíza Hanada; Marco Cristo; M. G. Pimentel,Conference,"Brazilian Symposium on Multimedia and the Web, pp. 333-336",16,0,"Wikipedia, a web-based collaboratively maintained free encyclopedia, is emerging as one of the most important websites on the internet. However, its openness raises many concerns about the quality of the articles and how to assess it automatically. In the Portuguese-speaking Wikipedia, articles can be rated by bots and by the community. In this paper, we investigate the correlation between these ratings and the count of media items (namely images and sounds) through a series of experiments. Our results show that article ratings and the count of media items are correlated.",,https://dl.acm.org/doi/pdf/10.1145/2526188.2526218,https://dl.acm.org/doi/10.1145/2526188.2526218
